Year,Title,Rating
1924,1. Den giriga,8.0
1924,"2. Fart, flickor och faror",8.2
1924,3. Peter Pan,7.1
1924,4. Sista skrattet,8.0
1924,5. Nibelungen Del 1. Siegfried Drakdödaren,8.1
1924,6. Tjuven i Bagdad,7.7
1924,7. Han som får örfilarna,7.7
1924,8. Järnhästen,7.2
1924,9. Orlacs händer,7.0
1924,10. Skepp ohoj!,7.5
1924,11. Das Wachsfigurenkabinett,6.5
1924,12. Gösta Berlings saga,7.0
1924,13. Den siste kavaljeren,6.6
1924,14. Akta er för flickor!,7.7
1924,15. L'inhumaine,7.2
1924,16. Aelita,6.4
1924,17. Nibelungen II: Kriemhilds hämnd,7.9
1924,18. Dantes inferno,5.7
1924,19. The Great White Silence,7.9
1924,20. Kapten Blod,6.5
1924,21. Romola,6.1
1924,22. Mikael,7.1
1924,23. Three Women,6.4
1924,24. La galerie des monstres,7.0
1924,25. The Enemy Sex,
1925,1. Pansarkryssaren Potemkin,7.9
1925,2. Fantomen på stora operan,7.5
1925,3. The Wizard of Oz,4.9
1925,4. Guldfeber,8.1
1925,5. Ben-Hur,7.8
1925,6. Den stora paraden,7.9
1925,7. En försvunnen värld,7.0
1925,8. Strejken,7.6
1925,9. Busters miljoner,7.8
1925,10. Den siste hövdingen,6.9
1925,11. Heja! Heja! Heja!,7.5
1925,12. The Pleasure Garden,5.8
1925,13. Svarta örnen,6.6
1925,14. Den glädjelösa gatan,7.1
1925,15. Karl XII,7.1
1925,16. Den glada änkan,7.2
1925,17. Hycklaren,7.1
1925,18. The Unholy Three,7.1
1925,19. Nattens barn,6.7
1925,20. Die Königin der Altstadt,5.1
1925,21. Kofösaren,7.1
1925,22. Stella Dallas,7.3
1925,23. Du skal ære din hustru,7.0
1925,24. Varieté,7.4
1925,25. The Monster,6.2
1926,"1. Moana, solens son",6.8
1926,2. Så går det till i krig,8.1
1926,3. Faust,8.1
1926,4. Enligt lag,7.6
1926,5. The Great Gatsby,
1926,6. Prins Achmeds äventyr,7.8
1926,7. En sida av vansinnet,7.3
1926,8. Tricolorens hjältar,7.0
1926,9. Mysteriet Flädermusen,6.5
1926,10. Bergens hemlighet,6.6
1926,11. Den röda bokstaven,7.6
1926,12. Åtrå,7.6
1926,13. Sheikens son,6.6
1926,14. Don Juan,7.0
1926,15. The Strong Man,6.6
1926,16. Sjörövaren,7.0
1926,17. Friskt humör,6.2
1926,18. Havets befriare,6.9
1926,19. Satans sorger,6.2
1926,20. Fresterskan,6.9
1926,21. 3 dåliga män,7.5
1926,22. Studenten från Prag,6.9
1926,23. Det brinner i öster,7.1
1926,24. Inte ett ord till min fru,7.1
1926,25. The Mountain Eagle,
1927,1. Metropolis,8.3
1927,2. Soluppgång,8.1
1927,3. Vingarna,7.5
1927,4. Napoleon,8.2
1927,5. Jazzsångaren,6.4
1927,6. The Lodger,7.3
1927,7. Konungarnas konung,7.4
1927,8. The Unknown,7.7
1927,9. London After Midnight,6.6
1927,10. Dagar som skakat världen,7.4
1927,11. Det,7.2
1927,12. Downhill,6.0
1927,13. I sjunde himlen,7.6
1927,14. En fasansfull natt,7.1
1927,15. Cirkusboxaren,6.1
1927,16. Underworld,7.5
1927,17. Hallåflickan,6.8
1927,"18. Berlin, storstadssymfoni",7.6
1927,19. Skilsmässornas barn,6.5
1927,20. Onkel Toms stuga,6.8
1927,21. Anna Karenina,6.8
1927,"22. Rodd, hopp och kärlek",6.9
1927,23. Lillebror,7.6
1927,24. Annie Laurie,6.6
1927,25. Frestelse,6.6
1928,1. En kvinnas martyrium,8.1
1928,2. Skrattmänniskan,7.6
1928,3. Cirkus,8.1
1928,4. Stormen,8.0
1928,5. Kanonfotografen,8.0
1928,6. En av de många,8.1
1928,7. Hennes förflutna,7.2
1928,8. La chute de la maison Usher,7.2
1928,9. The Farmer's Wife,5.8
1928,10. Klondyke,7.0
1928,11. Noaks ark,6.6
1928,12. U.44,6.3
1928,13. Sista Kommandot,7.9
1928,14. Hans son på galejan,7.8
1928,15. Alraune,6.2
1928,16. Champagne,5.4
1928,17. Spionen,7.5
1928,18. Our Dancing Daughters,6.7
1928,19. Skratta Pajazzo,7.5
1928,20. The Way of the Strong,6.2
1928,21. The Viking,6.6
1928,22. In Old Arizona,5.5
1928,23. De 4 djävlarna,
1928,24. That Certain Thing,6.3
1928,25. En natt i hamn,7.5
1929,1. Die Büchse der Pandora,7.7
1929,2. Hell's Heroes,7.2
1929,3. Mannen med filmkameran,8.3
1929,4. Utpressning,6.9
1929,5. Månraketen,7.2
1929,6. Broadways melodi,5.6
1929,7. The Wild Party,6.2
1929,8. Dansösen från Ziegfeld Follies,5.7
1929,9. Mannen med järnmasken,7.0
1929,10. Millionärernas paradis,6.8
1929,11. Kinesflickan,7.1
1929,12. En förlorads dagbok,7.8
1929,13. Prinsgemålen,7.0
1929,14. Manxmannen,6.2
1929,15. Jazzdrottningen,7.2
1929,16. Bulldog Drummond,6.3
1929,17. Midnattsmysteriet,5.9
1929,18. The Younger Generation,6.4
1929,19. The Locked Door,6.0
1929,20. Queen Kelly,7.1
1929,21. Juno och påfågeln,4.6
1929,22. Lavinen,7.2
1929,23. Hollywood Revyn,5.7
1929,24. Disraeli,6.1
1929,25. Kyssen,6.8
1930,1. Guldåldern,7.2
1930,2. På västfronten intet nytt,8.1
1930,3. Konsten att behålla en man,6.3
1930,4. Asfaltens liljor,6.7
1930,5. Rymdens demoner,7.3
1930,6. Blå ängeln,7.6
1930,7. Mot lyckans land,7.2
