Year,Title,Rating,Keyword
1924,1. Nibelungen II: Kriemhilds hämnd,7.9,sequel
1924,2. North of 36,6.2,sequel
1924,3. Maciste e il nipote d'America,,sequel
1924,4. Macistes som kejsare,5.3,sequel
1925,"1. Don Q, Zorros son",6.9,sequel
1925,2. Ingmarsarvet,6.7,sequel
1925,3. Bulldog Drummond's Third Round,4.2,sequel
1925,4. The Rainbow Trail,6.2,sequel
1925,5. Foam Sweet Foam,,sequel
1926,1. Sheikens son,6.6,sequel
1926,2. Till österland,6.9,sequel
1926,3. Den stora cirkuskatastrofen,5.4,sequel
1926,4. Maciste contro lo sceicco,5.4,sequel
1926,5. The Big Show,5.5,sequel
1927,1. The Chinese Parrot,5.9,sequel
1927,2. Tarzan and the Golden Lion,5.1,sequel
1927,3. Macistes hämnd,5.6,sequel
1927,4. The Return of Boston Blackie,5.8,sequel
1927,5. Il vetturale del Moncenisio,5.4,sequel
1927,6. På kryss med Blixten,,sequel
1927,7. Kvick som Blixten,,sequel
1928,1. Öknens hjältar,6.1,sequel
1928,"2. Tarzan, vilddjurens fosterson",6.2,sequel
1928,3. Gustaf Wasa del II,4.7,sequel
1928,4. Der alte Fritz - 2. Ausklang,6.1,sequel
1928,5. The Cohens and the Kellys in Paris,,sequel
1929,1. Mannen med järnmasken,7.0,sequel
1929,2. Tarzan the Tiger,5.3,sequel
1929,3. Mosesson och Johnsson i Atlantic City,6.5,sequel
1929,4. Giuditta e Oloferne,,sequel
1930,1. Benson-mysteriet,6.0,sequel
1930,2. The Arizona Kid,5.9,sequel
1930,3. Temple Tower,6.2,sequel
1930,4. Mosesson och Jonsson i Afrika,5.1,sequel
1930,5. Mosesson och Jonsson i Skottland,,sequel
1931,1. Women of All Nations,4.5,sequel
1931,2. Huckleberry Finn,6.3,sequel
1932,1. Fanny,7.8,sequel
1932,2. Fantômas,5.7,sequel
1932,3. The Cohens and Kellys in Hollywood,6.0,sequel
1932,4. Down to Earth,6.2,sequel
1932,5. The Rainbow Trail,6.8,sequel
1933,1. Doktor Mabuses testamente,7.9,sequel
1933,2. Kinesiska rummets hemlighet,6.8,sequel
1933,3. King Kongs son,5.6,sequel
1933,4. Charlie Chan's Greatest Case,7.0,sequel
1933,5. Cirkusmordet,6.0,sequel
1933,6. Musik ska' de' va',6.2,sequel
1933,7. Mosesson & Jonsson i på vinglig stråt,4.7,sequel
1933,8. Meidän poikamme merellä,4.3,sequel
1934,1. Tarzan och den vita kvinnan,7.2,sequel
1934,2. Bulldog Drummond tar revansch,6.9,sequel
1934,3. Mysteriet med den hämnande draken,6.4,sequel
1934,4. Stegen som tystnade,6.7,sequel
1934,5. Wild Cargo,6.1,sequel
1934,6. Josser on the Farm,,sequel
1934,7. Meidän poikamme ilmassa - me maassa,4.4,sequel
1934,8. Strange As It Seems #36,,sequel
1934,9. Strange As It Seems #37,,sequel
1934,10. Strange As It Seems #38,,sequel
1935,1. Frankensteins brud,7.8,sequel
1935,2. The Case of the Curious Bride,6.6,sequel
1935,3. The Case of the Lucky Legs,6.5,sequel
1935,4. Falskt spår,6.1,sequel
1935,5. Piraternas överman,5.5,sequel
1935,6. Tailspin Tommy in The Great Air Mystery,6.7,sequel
1935,7. Alibi Ike,6.1,sequel
